,AR_Score,Algorithm,CH_Score,DB_Score,J_Score,NMF_Score,SH_Score
0,"[0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.744526430873875, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357]",Spectral,"[688.8793045288546, 688.8793045288545, 688.8793045288546, 688.6175478020372, 688.8793045288546, 688.8793045288546, 688.8793045288546, 688.8793045288545, 688.8793045288546, 688.8793045288546]","[0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5604962418488779, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714]","[0.8244810744810745, 0.25396825396825395, 0.8244810744810745, 0.23529411764705885, 0.8244810744810745, 0.2371794871794872, 0.8244810744810745, 0.007662835249042145, 0.2371794871794872, 0.8244810744810745]","[0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.777705890628253, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547]","[0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.598475035370544, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864]"
1,"[0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357]",NMF,"[688.8793045288546, 688.8793045288546, 688.8793045288545, 688.8793045288546, 688.8793045288545, 688.8793045288546, 688.8793045288545, 688.8793045288546, 688.8793045288545, 688.8793045288546]","[0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714]","[0.3852138556572054, 0.3852138556572054, 0.007662835249042145, 0.8244810744810745, 0.25396825396825395, 0.04421768707482993, 0.007662835249042145, 0.04421768707482993, 0.25396825396825395, 0.3852138556572054]","[0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547]","[0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864]"
2,"[0.713980390476307, 0.713980390476307, 0.713980390476307, 0.713980390476307, 0.652130612244898, 0.713980390476307, 0.713980390476307, 0.713980390476307, 0.713980390476307, 0.713980390476307]",CSPA,"[497.8325831140985, 497.8325831140985, 497.8325831140985, 497.8325831140985, 486.82589165115513, 497.8325831140985, 497.8325831140985, 497.8325831140985, 497.8325831140985, 497.8325831140985]","[0.7548631479910902, 0.7548631479910902, 0.7548631479910902, 0.7548631479910902, 0.7682051225782462, 0.7548631479910902, 0.7548631479910902, 0.7548631479910902, 0.7548631479910902, 0.7548631479910902]","[0.8062536528345997, 0.8062536528345997, 0.8062536528345997, 0.8062536528345997, 0.41573033707865165, 0.8062536528345997, 0.8062536528345997, 0.8062536528345997, 0.8062536528345997, 0.8062536528345997]","[0.7234939964887985, 0.7234939964887985, 0.7234939964887985, 0.7234939964887985, 0.6802584697887845, 0.7234939964887985, 0.7234939964887985, 0.7234939964887985, 0.7234939964887985, 0.7234939964887985]","[0.49200439869797596, 0.49200439869797596, 0.49200439869797596, 0.49200439869797596, 0.4865339034054823, 0.49200439869797596, 0.49200439869797596, 0.49200439869797596, 0.49200439869797596, 0.49200439869797596]"
3,"[0.7436826319432357, 0.7302382722834697, 0.744526430873875, 0.7436826319432357, 0.7302382722834697, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7583384522539416]",MCLA,"[688.8793045288546, 692.9413472934489, 688.617547802037, 688.8793045288546, 692.9413472934489, 688.8793045288546, 688.8793045288546, 688.8793045288545, 688.8793045288546, 684.0792714228621]","[0.5672624853874714, 0.5616707465572124, 0.5604962418488779, 0.5672624853874714, 0.5616707465572124, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5668792790796732]","[0.8244810744810745, 0.8141025641025641, 0.3843473494636286, 0.3852138556572054, 0.23076923076923075, 0.8244810744810745, 0.8244810744810745, 0.007662835249042145, 0.3852138556572054, 0.04377104377104378]","[0.7660568503030547, 0.7582057278194196, 0.777705890628253, 0.7660568503030547, 0.7582057278194196, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7856963190683123]","[0.5949345841151864, 0.5987948388984353, 0.598475035370544, 0.5949345841151864, 0.5987948388984353, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5943916277047379]"
4,"[0.688033891525894, 0.7707383569303353, 0.7007836734693877, 0.7007836734693877, 0.7859265306122449, 0.7007836734693877, 0.6756462585034013, 0.6756462585034013, 0.713980390476307, 0.6756462585034013]",HBGF,"[526.3933826484192, 541.4044435160274, 433.0670833379061, 452.33287827133336, 501.904277594583, 482.7023965011984, 448.0941029958535, 417.65051896413047, 509.39603650852416, 439.28648397741495]","[0.7143415795018907, 0.6962943118955479, 0.8510551868347767, 0.8096181550617544, 0.7175269609435101, 0.7492875508079812, 0.8158821088194514, 0.877749487715371, 0.7142340402292383, 0.8402867599152165]","[0.03333333333333333, 0.846595655806182, 0.3992673992673993, 0.3992673992673993, 0.375886524822695, 0.3992673992673993, 0.40740740740740744, 0.40740740740740744, 0.8062536528345997, 0.40740740740740744]","[0.7050658301089041, 0.7657240407421256, 0.7139461047527011, 0.7139461047527011, 0.7773403198092464, 0.7139461047527011, 0.6963427233309364, 0.6963427233309364, 0.7234939964887985, 0.6963427233309364]","[0.5107505373269836, 0.5151563541825337, 0.47568280208133273, 0.4896058008255031, 0.5178187942391435, 0.5080036551597349, 0.48741850291990346, 0.48186412651127103, 0.5194579118719599, 0.47597538217033064]"
