,AR_Score,Algorithm,CH_Score,DB_Score,J_Score,NMF_Score,SH_Score
0,"[0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.7436826319432357, 0.744526430873875, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.744526430873875, 0.744526430873875, 0.744526430873875, 0.6032114981835512, 0.6032114981835512, 0.6032114981835512, 0.6032114981835512, 0.6032114981835512, 0.6032114981835512, 0.6032114981835512, 0.6032114981835512, 0.6032114981835512, 0.6032114981835512]",Spectral,"[557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 688.8793045288546, 688.6175478020372, 688.8793045288546, 688.8793045288546, 688.8793045288546, 688.8793045288545, 688.8793045288546, 688.6175478020372, 688.6175478020372, 688.6175478020372, 659.3330836116816, 659.3330836116816, 659.3330836116816, 659.3330836116816, 659.3330836116817, 659.3330836116816, 659.3330836116817, 659.3330836116816, 659.3330836116816, 659.3330836116814]","[0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.5672624853874714, 0.5604962418488779, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5604962418488779, 0.5604962418488779, 0.5604962418488779, 0.5827998693992762, 0.5827998693992762, 0.5827998693992762, 0.5827998693992762, 0.5827998693992762, 0.5827998693992762, 0.5827998693992762, 0.5827998693992762, 0.5827998693992762, 0.5827998693992762]","[0.5, 0.5, 0.0, 0.0, 0.5, 0.5, 0.5, 0.0, 0.5, 0.5, 0.04421768707482993, 0.23529411764705885, 0.8244810744810745, 0.8244810744810745, 0.8244810744810745, 0.25396825396825395, 0.8244810744810745, 0.23529411764705885, 0.23529411764705885, 0.23529411764705885, 0.08666666666666667, 0.1895424836601307, 0.16901408450704225, 0.6095424836601308, 0.0, 0.6095424836601308, 0.0, 0.6095424836601308, 0.1895424836601307, 0.08666666666666667]","[0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7660568503030547, 0.777705890628253, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.777705890628253, 0.777705890628253, 0.777705890628253, 0.6942368139745574, 0.6942368139745574, 0.6942368139745573, 0.6942368139745574, 0.6942368139745574, 0.6942368139745574, 0.6942368139745574, 0.6942368139745574, 0.6942368139745574, 0.6942368139745574]","[0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.5949345841151864, 0.598475035370544, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.598475035370544, 0.598475035370544, 0.598475035370544, 0.5438922097350094, 0.5438922097350094, 0.5438922097350094, 0.5438922097350094, 0.5438922097350094, 0.5438922097350094, 0.5438922097350094, 0.5438922097350094, 0.5438922097350094, 0.5438922097350094]"
1,"[0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.6837832495826895, 0.684062207653865, 0.6837832495826895, 0.6837832495826895, 0.684062207653865, 0.684062207653865, 0.6837832495826895, 0.6349017637865595, 0.684062207653865, 0.684062207653865]",NMF,"[557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 688.8793045288545, 688.8793045288546, 688.8793045288545, 688.8793045288545, 688.8793045288545, 688.8793045288545, 688.8793045288545, 688.8793045288546, 688.8793045288545, 688.8793045288545, 675.8843390834388, 655.0929258162571, 675.8843390834387, 675.8843390834387, 655.0929258162571, 655.092925816257, 675.8843390834388, 460.47910201584216, 655.092925816257, 655.092925816257]","[0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.6521460631260665, 0.6589037390680628, 0.6521460631260665, 0.6521460631260665, 0.6589037390680628, 0.6589037390680628, 0.6521460631260665, 2.121148763656027, 0.6589037390680628, 0.6589037390680628]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.25396825396825395, 0.3852138556572054, 0.25396825396825395, 0.25396825396825395, 0.007662835249042145, 0.007662835249042145, 0.25396825396825395, 0.2371794871794872, 0.007662835249042145, 0.25396825396825395, 0.0038759689922480624, 0.007662835249042145, 0.2514472455648926, 0.42483660130718953, 0.3393300248138958, 0.0042194092827004225, 0.0038759689922480624, 0.007662835249042145, 0.3452155778650759, 0.6726633581472292]","[0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7273918499892263, 0.7178955380674528, 0.7273918499892263, 0.7273918499892265, 0.7178955380674528, 0.7178955380674528, 0.7273918499892263, 0.7062648882778311, 0.7178955380674528, 0.7178955380674528]","[0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5417241255415319, 0.5307323843278438, 0.5417241255415319, 0.5417241255415319, 0.5307323843278438, 0.5307323843278438, 0.5417241255415319, 0.323876643907197, 0.5307323843278438, 0.5307323843278438]"
2,"[0.4231397079005532, 0.4402831388889892, 0.4402831388889892, 0.4231397079005532, 0.4231397079005532, 0.4402831388889892, 0.4402831388889892, 0.4402831388889892, 0.4402831388889892, 0.4402831388889892, 0.7276184569180799, 0.7276184569180799, 0.7276184569180799, 0.7276184569180799, 0.7276184569180799, 0.7276184569180799, 0.7276184569180799, 0.7276184569180799, 0.7276184569180799, 0.7276184569180799, 0.44939290684839467, 0.44939290684839467, 0.44939290684839467, 0.44939290684839467, 0.4431604106386662, 0.44939290684839467, 0.4431604106386662, 0.44939290684839467, 0.44939290684839467, 0.4431604106386662]",CSPA,"[39.374223855837904, 41.68533890862483, 41.42056285896932, 39.374223855837904, 39.374223855837904, 41.42056285896932, 41.42056285896932, 41.42056285896932, 41.42056285896932, 41.42056285896932, 630.0097665774672, 630.0097665774672, 630.0097665774672, 630.0097665774672, 630.0097665774672, 630.0097665774672, 630.0097665774672, 630.0097665774672, 630.0097665774672, 630.0097665774672, 66.07295135141683, 66.07295135141683, 66.07295135141683, 66.07295135141683, 65.02832457841599, 66.07295135141683, 65.02832457841599, 66.07295135141683, 66.07295135141683, 65.02832457841599]","[1.6032432857006382, 1.5587508542182713, 1.563645074192056, 1.6032432857006382, 1.6032432857006382, 1.563645074192056, 1.563645074192056, 1.563645074192056, 1.563645074192056, 1.563645074192056, 0.6215237428971044, 0.6215237428971044, 0.6215237428971044, 0.6215237428971044, 0.6215237428971044, 0.6215237428971044, 0.6215237428971044, 0.6215237428971044, 0.6215237428971044, 0.6215237428971044, 3.007966031621601, 3.007966031621601, 3.007966031621601, 3.007966031621601, 3.0194605061009243, 3.007966031621601, 3.0194605061009243, 3.007966031621601, 3.007966031621601, 3.0194605061009243]","[0.002710027100271003, 0.0, 0.0, 0.002710027100271003, 0.002710027100271003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23976608187134502, 0.23976608187134502, 0.23976608187134502, 0.23976608187134502, 0.23976608187134502, 0.23976608187134502, 0.23976608187134502, 0.23976608187134502, 0.23976608187134502, 0.23976608187134502, 0.32924029150444245, 0.32924029150444245, 0.32924029150444245, 0.32924029150444245, 0.19186373873873874, 0.32924029150444245, 0.19186373873873874, 0.32924029150444245, 0.32924029150444245, 0.19186373873873874]","[0.49324474041917615, 0.5304928274610481, 0.5304928274610481, 0.49324474041917615, 0.49324474041917615, 0.5304928274610481, 0.5304928274610481, 0.5304928274610481, 0.5304928274610481, 0.5304928274610481, 0.7337944288515527, 0.7337944288515527, 0.7337944288515527, 0.7337944288515527, 0.7337944288515527, 0.7337944288515527, 0.7337944288515527, 0.7337944288515527, 0.7337944288515527, 0.7337944288515527, 0.5572566874027696, 0.5572566874027696, 0.5572566874027696, 0.5572566874027696, 0.5371282062123374, 0.5572566874027696, 0.5371282062123374, 0.5572566874027696, 0.5572566874027696, 0.5371282062123374]","[0.3807890783989305, 0.3937576154543666, 0.3929939153813326, 0.3807890783989305, 0.3807890783989305, 0.3929939153813326, 0.3929939153813326, 0.3929939153813326, 0.3929939153813326, 0.3929939153813326, 0.548600086360384, 0.548600086360384, 0.548600086360384, 0.548600086360384, 0.548600086360384, 0.548600086360384, 0.548600086360384, 0.548600086360384, 0.548600086360384, 0.548600086360384, 0.23370911961281904, 0.23370911961281904, 0.23370911961281904, 0.23370911961281904, 0.22951477192561523, 0.23370911961281904, 0.22951477192561523, 0.23370911961281904, 0.23370911961281904, 0.22951477192561523]"
3,"[0.5681159420289855, 0.5228988572603626, 0.5681159420289855, 0.5149369402475277, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.4933144162307792, 0.7436826319432357, 0.7436826319432357, 0.744526430873875, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7436826319432357, 0.7302382722834697, 0.7436826319432357, 0.6032114981835512, 0.5684507945264712, 0.6615250198570294, 0.6257868815029844, 0.6307393496430143, 0.6615250198570294, 0.6032114981835512, 0.6615250198570294, 0.6134690493964127, 0.6615250198570294]",MCLA,"[557.4610324586055, 220.22307415331545, 557.4610324586055, 197.30906512407822, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 132.40760288686548, 688.8793045288546, 688.8793045288546, 688.617547802037, 688.8793045288546, 688.8793045288546, 688.8793045288546, 688.8793045288546, 688.8793045288546, 692.9413472934486, 688.8793045288546, 659.3330836116816, 475.24953597879, 597.7346713998301, 514.5673715733091, 469.0202246643474, 597.7346713998301, 659.3330836116814, 597.7346713998301, 550.9917679808882, 597.7346713998301]","[0.34936294249754174, 0.5862771192286758, 0.34936294249754174, 0.6337700745275286, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.8134305068697154, 0.5672624853874714, 0.5672624853874714, 0.5604962418488779, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5672624853874714, 0.5616707465572124, 0.5672624853874714, 0.5827998693992762, 0.514073939952537, 0.5501217058752711, 0.5855653346057684, 0.6126457048161432, 0.5501217058752711, 0.5827998693992762, 0.5501217058752711, 0.6239320179756164, 0.5501217058752711]","[0.0, 0.47846889952153104, 0.0, 0.47492401215805474, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46563605885639786, 0.3852138556572054, 0.3852138556572054, 0.3843473494636286, 0.3852138556572054, 0.8244810744810745, 0.8244810744810745, 0.8244810744810745, 0.8244810744810745, 0.38870431893687707, 0.3852138556572054, 0.5023474178403756, 0.12333333333333334, 0.1895424836601307, 0.1895424836601307, 0.22287581699346404, 0.0707070707070707, 0.33755274261603374, 0.1895424836601307, 0.13777777777777775, 0.1895424836601307]","[0.7611702597222872, 0.6458839607495384, 0.7611702597222872, 0.6319413703024264, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.5979425425719797, 0.7660568503030547, 0.7660568503030547, 0.777705890628253, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7660568503030547, 0.7582057278194196, 0.7660568503030547, 0.6942368139745573, 0.7094014860503396, 0.7324325944164127, 0.7019995104610035, 0.7046123766596661, 0.7324325944164127, 0.6942368139745574, 0.7324325944164127, 0.6967487802942947, 0.7324325944164127]","[0.711235373323721, 0.6301833925024773, 0.711235373323721, 0.6161378610693078, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.5748146610517361, 0.5949345841151864, 0.5949345841151864, 0.598475035370544, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5949345841151864, 0.5987948388984353, 0.5949345841151864, 0.5438922097350094, 0.5551436468288319, 0.5601535036989198, 0.5028860353166725, 0.46981458940537807, 0.5601535036989198, 0.5438922097350094, 0.5601535036989198, 0.50322523640801, 0.5601535036989198]"
4,"[0.4311527827863926, 0.4342209424825908, 0.4342209424825908, 0.4342209424825908, 0.4342209424825908, 0.4311527827863926, 0.4342209424825908, 0.4342209424825908, 0.4342209424825908, 0.4342209424825908, 0.6638956080488512, 0.6522271369579056, 0.6882069564720807, 0.6882069564720807, 0.6882069564720807, 0.6882069564720807, 0.6638956080488512, 0.6522271369579056, 0.6638956080488512, 0.7011154962653707, 0.4305666313693192, 0.41281918316418204, 0.4403384136027517, 0.4200870700914236, 0.41939955018567915, 0.4609006478885114, 0.4305666313693192, 0.38251866183833816, 0.4331638189115344, 0.46920921539691596]",HBGF,"[51.89200595359185, 54.85657317694222, 54.85657317694222, 54.85657317694222, 54.85657317694222, 50.76862875872619, 54.85657317694222, 54.757849297303416, 54.85657317694222, 55.35343317499208, 583.3990528337594, 582.2581448025012, 595.9733556005499, 590.2321808268787, 601.0360185225192, 614.6615755457307, 590.5166965327941, 582.7991181778814, 583.2810669215794, 609.9029750136688, 63.11353552306524, 59.990046809067394, 60.32048479544073, 59.38738065242809, 62.46591956590901, 209.6477412214932, 58.85403858545963, 60.69782033630051, 59.91854597757603, 62.20076103664833]","[1.3973398020167636, 1.3562889888169825, 1.3562889888169825, 1.3562889888169825, 1.3562889888169825, 1.411560765237217, 1.3562889888169825, 1.3575592519968156, 1.3562889888169825, 1.3505358364510218, 0.6625243807152145, 0.6640300104950675, 0.6500324603369988, 0.6553910016028911, 0.6463256295827694, 0.6332583407995768, 0.6557070602454322, 0.6632768115169313, 0.6629001260923874, 0.6372958222404063, 2.9541844584949155, 3.2027786470697297, 3.076752982982419, 3.040265495656956, 2.937776296239852, 0.8940715479768837, 3.171924850264687, 3.038215470654452, 3.3734166833902517, 3.0604021231301086]","[0.43974132863021753, 0.002824858757062147, 0.002824858757062147, 0.002824858757062147, 0.002824858757062147, 0.43974132863021753, 0.002824858757062147, 0.002824858757062147, 0.002824858757062147, 0.002824858757062147, 0.7684527063969382, 0.4156565656565656, 0.22950819672131145, 0.7869794610891275, 0.7869794610891275, 0.40315095261358086, 0.7684527063969382, 0.21505376344086022, 0.21468926553672313, 0.7963761863675582, 0.20987654320987653, 0.06926406926406926, 0.06329113924050633, 0.21073205401563608, 0.3736652236652237, 0.6006837606837607, 0.06410256410256411, 0.1709090909090909, 0.1666999666999667, 0.38646464646464646]","[0.5014571849089945, 0.5047639064136281, 0.5047639064136281, 0.5047639064136281, 0.5047639064136281, 0.5014571849089945, 0.5047639064136281, 0.5047639064136281, 0.5047639064136281, 0.5047639064136281, 0.6890519034401403, 0.6806461930707096, 0.706020626938376, 0.7060206269383759, 0.7060206269383759, 0.7060206269383759, 0.6890519034401403, 0.6806461930707097, 0.6890519034401403, 0.7160103701919176, 0.5245236719921084, 0.5105487884270423, 0.5352769186688521, 0.5243928002049059, 0.5185548430016119, 0.5635311769210379, 0.5245236719921084, 0.48778505765479585, 0.542617092081725, 0.5844308705774508]","[0.42858124421189964, 0.4420935763721239, 0.4420935763721239, 0.4420935763721239, 0.4420935763721239, 0.42996645833508446, 0.4420935763721239, 0.4424188516142442, 0.4420935763721239, 0.44233510271990717, 0.5232018101455109, 0.5216046886504483, 0.5292557413503993, 0.5266983665361376, 0.531953240735269, 0.5409328292421778, 0.5273552082494695, 0.5205676058513592, 0.522616116787376, 0.5405905064758705, 0.22859165979467694, 0.2249321016304755, 0.2391700878578531, 0.24393000280384622, 0.24441417017699157, 0.28954363722364673, 0.2415225965871539, 0.22591655675221944, 0.23947379079504919, 0.2578017357749395]"
