,AR_Score,Algorithm,CH_Score,DB_Score,J_Score,NMF_Score,SH_Score
0,"[0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697]",KMeans,"[692.9413472934489, 692.9413472934486, 692.9413472934489, 692.9413472934489, 692.9413472934489, 692.9413472934489, 692.9413472934489, 692.9413472934489, 692.9413472934489, 692.9413472934489]","[0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124]","[0.23076923076923075, 0.047619047619047616, 0.8141025641025641, 0.23076923076923075, 0.8141025641025641, 0.8141025641025641, 0.23076923076923075, 0.8141025641025641, 0.8141025641025641, 0.23076923076923075]","[0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196]","[0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353]"
1,"[0.7302382722834697, 0.5402730318834812, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.5375864657487316, 0.7302382722834697, 0.7302382722834697]",NMF,"[692.9413472934489, 318.2585164172955, 692.9413472934488, 692.9413472934488, 692.9413472934489, 692.9413472934486, 692.9413472934488, 295.17328065457355, 692.9413472934489, 692.9413472934489]","[0.5616707465572124, 1.3169454653365857, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 1.6099947482490755, 0.5616707465572124, 0.5616707465572124]","[0.8141025641025641, 0.08484848484848484, 0.007751937984496125, 0.25, 0.23076923076923075, 0.047619047619047616, 0.007751937984496125, 0.06666666666666667, 0.23076923076923075, 0.8141025641025641]","[0.7582057278194196, 0.6372383881814179, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.6388623741543514, 0.7582057278194196, 0.7582057278194196]","[0.5987948388984353, 0.30488174009741, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.24593202091594032, 0.5987948388984353, 0.5987948388984353]"
2,"[0.5913142857142857, 0.5913142857142857, 0.5913142857142857, 0.5913142857142857, 0.5913142857142857, 0.5913142857142857, 0.5913142857142857, 0.5913142857142857, 0.5913142857142857, 0.5913142857142857]",CSPA,"[461.09651924186704, 461.09651924186704, 461.09651924186704, 461.09651924186704, 461.09651924186704, 461.09651924186704, 461.09651924186704, 461.09651924186704, 461.09651924186704, 461.09651924186704]","[0.8190683798450848, 0.8190683798450848, 0.8190683798450848, 0.8190683798450848, 0.8190683798450848, 0.8190683798450848, 0.8190683798450848, 0.8190683798450848, 0.8190683798450848, 0.8190683798450848]","[0.441860465116279, 0.441860465116279, 0.441860465116279, 0.441860465116279, 0.441860465116279, 0.441860465116279, 0.441860465116279, 0.441860465116279, 0.441860465116279, 0.441860465116279]","[0.6401804206005287, 0.6401804206005287, 0.6401804206005287, 0.6401804206005287, 0.6401804206005287, 0.6401804206005287, 0.6401804206005287, 0.6401804206005287, 0.6401804206005287, 0.6401804206005287]","[0.47287132056202114, 0.47287132056202114, 0.47287132056202114, 0.47287132056202114, 0.47287132056202114, 0.47287132056202114, 0.47287132056202114, 0.47287132056202114, 0.47287132056202114, 0.47287132056202114]"
3,"[0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697]",MCLA,"[692.9413472934488, 692.9413472934486, 692.9413472934488, 692.9413472934486, 692.9413472934488, 692.9413472934486, 692.9413472934486, 692.9413472934486, 692.9413472934488, 692.9413472934489]","[0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124]","[0.007751937984496125, 0.38870431893687707, 0.007751937984496125, 0.38870431893687707, 0.25, 0.38870431893687707, 0.047619047619047616, 0.047619047619047616, 0.007751937984496125, 0.23076923076923075]","[0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196]","[0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353]"
4,"[0.6756462585034013, 0.7275428571428572, 0.7275428571428572, 0.713980390476307, 0.713980390476307, 0.7007836734693877, 0.6302367346938775, 0.6756462585034013, 0.713980390476307, 0.6756462585034013]",HBGF,"[479.58161534307834, 484.83316166319497, 506.16853716054874, 504.16066869415033, 522.4129282543893, 476.82013681002377, 461.23354055074407, 433.3840855367332, 504.16066869415033, 479.6236616255602]","[0.7706506669341336, 0.7448909273145912, 0.7187161477055652, 0.7353588707467726, 0.709653802014346, 0.7722136619046468, 0.8060211515639543, 0.8561866794513483, 0.7353588707467726, 0.7693943529766454]","[0.40740740740740744, 0.391304347826087, 0.391304347826087, 0.8062536528345997, 0.8062536528345997, 0.3992673992673993, 0.42424242424242425, 0.40740740740740744, 0.8062536528345997, 0.40740740740740744]","[0.6963427233309364, 0.7331968193350713, 0.7331968193350713, 0.7234939964887985, 0.7234939964887985, 0.7139461047527011, 0.6655902882990271, 0.6963427233309364, 0.7234939964887985, 0.6963427233309364]","[0.49269121923273057, 0.5105682735712812, 0.5163678919084402, 0.5042203467813982, 0.5119872314116527, 0.4921618210454135, 0.4788067438131778, 0.4751556311994864, 0.5042203467813982, 0.4917963642963707]"
