,AR_Score,Algorithm,CH_Score,DB_Score,J_Score,NMF_Score,SH_Score
0,"[0.37689950790287513, 0.3887808372412597, 0.372632710339667, 0.37688772507589824, 0.3880267687161236, 0.38758869698166104, 0.372632710339667, 0.3809140680895038, 0.3769890462564089, 0.3888964221091234]",KMeans,"[85354.17939971176, 85275.3002262412, 85297.64560205142, 85330.08074570746, 85278.42906974349, 85278.9326103672, 85297.64560205142, 85294.10089672238, 85335.76549154619, 85278.48174127065]","[0.5728686682750656, 0.5721770635527533, 0.5730993865023782, 0.572079232696594, 0.572094510498575, 0.5720815774149752, 0.5730993865023765, 0.5720138002693765, 0.5721852426767834, 0.5722861698932905]","[0.07475188773342567, 0.08556546510001743, 0.02491530890205339, 0.04902486141354265, 0.1252493183482627, 0.03196038316137629, 0.30386682276148247, 0.0748740622389225, 0.09335944144358173, 0.08169352675067744]","[0.5135413582025511, 0.516069615192812, 0.5143053340567549, 0.513551762770533, 0.5159593312131687, 0.5156808292455188, 0.514305334056755, 0.5148485673430945, 0.5135520315285074, 0.5162093054699058]","[0.5329741502526022, 0.5341246099973849, 0.5323635337265725, 0.5332165176518736, 0.5340926561073449, 0.53408080515857, 0.5323635337265725, 0.5334410795981965, 0.533171424177969, 0.5340516978985438]"
1,"[0.37041401320155787, 0.27901480258350975, 0.2814238321224098, 0.2868922216435766, 0.3722054235486766, 0.281856491248119, 0.37558327799817876, 0.27773555248930604, 0.2794420708595356, 0.3523602939888666]",NMF,"[1358.181033548679, 2927.5613748189794, 1514.8385528137426, 2429.1193420237096, 1398.3137198380446, 728.0644911289689, 1490.1578992405525, 1221.8565388459258, 1475.2742716958755, 2927.2986676835376]","[7.696872078733847, 68.1582974947799, 16.352934646000765, 21.64373351314877, 122.33880253948625, 19.808597782890185, 30.35485749112963, 15.193847758463301, 76.47987881670898, 130.45511555105193]","[0.06724459873777294, 0.05626341370315202, 0.03186616788481584, 0.015899174107077498, 0.02816192234488103, 0.04431174343268779, 0.21614006466438468, 0.033496655347792295, 0.21812521148764297, 0.08472725492611961]","[0.43824257959739477, 0.41859513932380793, 0.3801266312023142, 0.3961895562503502, 0.4378355553625925, 0.42497971379950783, 0.43829190000814566, 0.38134980174888045, 0.3793390372519074, 0.42512003355013617]","[0.2140175615747487, 0.08398646600219242, 0.14572918505784366, 0.11402582769281712, 0.24829272961704052, 0.1371572990761299, 0.2507806251232452, 0.0761195304530071, 0.159031518995671, 0.22372773278297958]"
2,"[0.23677570468761824, 0.24276219040749097, 0.230066332826477, 0.2400085784228879, 0.24397366299609344, 0.23249773480098718, 0.24379708926308694, 0.24809427933976136, 0.2396325779095033, 0.23770880209806117]",CSPA,"[1215.8066077365459, 1206.6037830208188, 1109.0845618640078, 1129.3912785206605, 1258.3899317083485, 841.2977074778632, 1177.277555839966, 1443.8605809730318, 1093.5754535889198, 1082.3113710727125]","[24.762528433143533, 44.96486071346887, 18.408280863184014, 333.09877610082515, 47.27091370734796, 228.63298988080913, 125.3451822846865, 29.74429087301545, 243.07181702933485, 22.83567210553786]","[0.2518268087459986, 0.17655737476260652, 0.2484022006304696, 0.17090570610168185, 0.10271754924281072, 0.12831210024397088, 0.24400018819276442, 0.16389949008417498, 0.23912079699383398, 0.09855760959874214]","[0.3700045519388556, 0.3743741188360328, 0.35983833081020794, 0.370051664166099, 0.37476285867614034, 0.3689474248434344, 0.3753500840149451, 0.3799536396650751, 0.3646714650929714, 0.36355306785881264]","[0.07086529926517396, 0.07350536938027644, 0.01944918698295934, 0.030750471177247565, 0.08113863042415828, 0.05676686632331827, 0.07543416295808088, 0.056945101224520685, 0.023199002148790136, 0.024273555552019092]"
3,"[0.3763277031598307, 0.3771552376614057, 0.3774622371582132, 0.37640389548338116, 0.37655009457229566, 0.3756287186288657, 0.3763721186588732, 0.37637928751409594, 0.37642925421745344, 0.37532521415514364]",MCLA,"[85352.24090911547, 85339.67758342688, 85350.9652288006, 85345.63944035016, 85353.42582752269, 85349.73380659043, 85351.49351722485, 85355.79923115463, 85350.15530458838, 85338.91880823433]","[0.5726811424298128, 0.5727097137301034, 0.5725728010982293, 0.5728809824070906, 0.5726649281521901, 0.5729027593085106, 0.5726675387543778, 0.5726611414472831, 0.572792899036806, 0.573014891137353]","[0.015341244956361189, 0.08137948485626917, 0.005608571848717207, 0.06954014281642341, 0.23242081798198433, 0.132823740432923, 0.05033659224735655, 0.05006239517837489, 0.0018364211878178977, 0.05548214228790399]","[0.5138083364451747, 0.5135526305026383, 0.5139146767015659, 0.5141719703269144, 0.5137914819173741, 0.5135873580074687, 0.5140808705762705, 0.5138047742530629, 0.5135085926288601, 0.5139033790174307]","[0.5329196326021366, 0.5329594399968627, 0.53309223531686, 0.5328292907128341, 0.5329766823412908, 0.5328242405274872, 0.532921227303271, 0.5330219642566092, 0.5329171445315826, 0.5327683396021833]"
4,"[0.24182111201394416, 0.24270396718613121, 0.24582166368706795, 0.24171488538402816, 0.23796752918677158, 0.23868244292821317, 0.24291780666797305, 0.23656123330986964, 0.2509272873999324, 0.24213487050576848]",HBGF,"[775.3904488787255, 3709.4276415346644, 1444.5196701382392, 1219.1230996632294, 1106.5750773806658, 1235.4894165701419, 1435.861417641048, 1236.4746218375742, 1438.3992339565607, 1213.6992631181947]","[52.09811133109097, 2.1399581592993626, 21.9591913446973, 67.0872805261203, 66.73240536079503, 53.25449173140895, 48.61238994478528, 73.2996089814936, 199.0994834248116, 90.12736397643134]","[0.0654810900500313, 0.02523706979616174, 0.20136560607087914, 0.10240467317571066, 0.2052129367130606, 0.2201045398294273, 0.06368618484927441, 0.22136344806576366, 0.2040273743737403, 0.21980722473527878]","[0.38373088393951327, 0.375732313687189, 0.38247721217114317, 0.3800467835909184, 0.3707339235186107, 0.37359577452287773, 0.37651263804238844, 0.37288007238575493, 0.3870285681593882, 0.37654363613892633]","[0.06869920768551475, 0.089354834365776, 0.05121686333873479, 0.06295092907468348, 0.012550394739235969, 0.06267687561618897, 0.04841373893051927, 0.0644689303107792, 0.030095673221497678, 0.0608067208421538]"
