,AR_Score,Algorithm,CH_Score,DB_Score,J_Score,NMF_Score,SH_Score
0,"[0.5399218294207123, 0.5399218294207123, 0.5399218294207123, 0.5399218294207123, 0.5399218294207123, 0.5399218294207123, 0.5399218294207123, 0.5399218294207123, 0.5399218294207123, 0.5399218294207123, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.6498176853819967, 0.6349047487575925, 0.6460787233460947, 0.6460787233460947, 0.6498176853819967, 0.6498176853819967, 0.6460787233460947, 0.6498176853819967, 0.6460787233460947, 0.6498176853819967]",KMeans,"[570.8388682305418, 570.8388682305418, 570.8388682305418, 570.8388682305418, 570.8388682305418, 570.8388682305418, 570.8388682305418, 570.8388682305418, 570.8388682305418, 570.8388682305418, 692.9413472934489, 692.9413472934489, 692.9413472934489, 692.9413472934489, 692.9413472934489, 692.9413472934489, 692.9413472934489, 692.9413472934486, 692.9413472934486, 692.9413472934489, 716.2086317948396, 716.1570697009103, 715.9032209990693, 715.9032209990693, 716.2086317948396, 716.2086317948396, 715.9032209990692, 716.2086317948396, 715.9032209990692, 716.2086317948396]","[0.3709582478659339, 0.3709582478659339, 0.3709582478659339, 0.3709582478659339, 0.3709582478659339, 0.3709582478659339, 0.3709582478659339, 0.3709582478659339, 0.3709582478659339, 0.3709582478659339, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.6222357153575132, 0.6212862255304675, 0.6197127281728929, 0.6197127281728929, 0.6222357153575132, 0.6222357153575132, 0.6197127281728929, 0.6222357153575131, 0.6197127281728929, 0.6222357153575131]","[0.01, 0.4711320754716981, 0.01, 0.4711320754716981, 0.01, 0.4711320754716981, 0.01, 0.01, 0.4711320754716981, 0.01, 0.23076923076923075, 0.23076923076923075, 0.23076923076923075, 0.23076923076923075, 0.23076923076923075, 0.8141025641025641, 0.8141025641025641, 0.047619047619047616, 0.047619047619047616, 0.23076923076923075, 0.0776255707762557, 0.004329004329004329, 0.33771929824561403, 0.0043859649122807015, 0.6610945273631841, 0.410958904109589, 0.11940298507462685, 0.004329004329004329, 0.11940298507462685, 0.33766233766233766]","[0.6793227011157921, 0.6793227011157921, 0.6793227011157921, 0.6793227011157921, 0.6793227011157921, 0.6793227011157921, 0.6793227011157921, 0.6793227011157921, 0.6793227011157921, 0.6793227011157921, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7260795071290361, 0.7180845593725212, 0.7240007647357554, 0.7240007647357554, 0.7260795071290362, 0.7260795071290361, 0.7240007647357555, 0.7260795071290361, 0.7240007647357555, 0.7260795071290361]","[0.7056703225102109, 0.7056703225102109, 0.7056703225102109, 0.7056703225102109, 0.7056703225102109, 0.7056703225102109, 0.7056703225102109, 0.7056703225102109, 0.7056703225102109, 0.7056703225102109, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5614058757889666, 0.5578045789922853, 0.5609574019832673, 0.5609574019832673, 0.5614058757889666, 0.5614058757889666, 0.5609574019832673, 0.5614058757889666, 0.5609574019832673, 0.5614058757889666]"
1,"[0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.5681159420289855, 0.7302382722834697, 0.64225125183629, 0.5621364251426576, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.666689728333564, 0.6853266037898965, 0.6333243113822323, 0.7080212241090824, 0.666689728333564, 0.666689728333564, 0.666689728333564, 0.6498176853819967, 0.666689728333564, 0.5730056029411558]",NMF,"[557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 557.4610324586055, 692.9413472934489, 584.3146174900384, 321.7192604433768, 692.9413472934486, 692.9413472934489, 692.9413472934488, 692.9413472934488, 692.9413472934488, 692.9413472934489, 692.9413472934488, 678.4497748214322, 488.3510960454521, 462.25615616455576, 530.5527908891294, 678.4497748214322, 678.4497748214322, 678.449774821432, 716.2086317948396, 678.4497748214322, 437.33679649784494]","[0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.34936294249754174, 0.5616707465572124, 0.5449480410781957, 0.4133410889833368, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.6410844816935846, 0.8380061254040762, 2.2244353657921567, 0.52646349772473, 0.6410844816935847, 0.6410844816935847, 0.6410844816935847, 0.6222357153575132, 0.6410844816935846, 1.626557375426548]","[0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.5, 0.8141025641025641, 0.41510341510341514, 0.02, 0.38870431893687707, 0.8141025641025641, 0.25, 0.007751937984496125, 0.007751937984496125, 0.23076923076923075, 0.25, 0.7405731523378581, 0.38835357624831307, 0.51, 0.04912280701754385, 0.11544011544011541, 0.012080942313500454, 0.11111111111111109, 0.0776255707762557, 0.004329004329004329, 0.2344186046511628]","[0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7611702597222872, 0.7582057278194196, 0.7224215140354543, 0.7284149776595633, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7081770468808372, 0.7061928957792724, 0.7031455149036433, 0.7362162331617994, 0.7081770468808369, 0.7081770468808369, 0.7081770468808369, 0.7260795071290361, 0.7081770468808369, 0.645782727209586]","[0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.711235373323721, 0.5987948388984353, 0.5578712648249571, 0.49452754949168026, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5463572584415316, 0.4935845718458804, 0.3414089527044388, 0.5135703885947723, 0.5463572584415316, 0.5463572584415316, 0.5463572584415316, 0.5614058757889666, 0.5463572584415316, 0.3786629927895867]"
2,"[0.39207103085026335, 0.39207103085026335, 0.39207103085026335, 0.39207103085026335, 0.39207103085026335, 0.39207103085026335, 0.4231397079005532, 0.39207103085026335, 0.39207103085026335, 0.39207103085026335, 0.6757362582358094, 0.61992433178106, 0.61992433178106, 0.6410058621782706, 0.61992433178106, 0.6100728505285608, 0.6410058621782706, 0.6410058621782706, 0.6410058621782706, 0.6004644575682503, 0.44262421400792357, 0.44262421400792357, 0.44262421400792357, 0.44262421400792357, 0.44262421400792357, 0.44262421400792357, 0.4900824137449365, 0.44262421400792357, 0.44262421400792357, 0.44262421400792357]",CSPA,"[47.834151221400994, 50.10222959435052, 50.10222959435052, 50.10222959435052, 47.834151221400994, 50.10222959435052, 309.1685274463569, 50.10222959435052, 47.834151221400994, 47.834151221400994, 492.9348561322715, 359.58482919122633, 359.58482919122633, 579.3578041566303, 359.58482919122633, 360.17863213033894, 579.3578041566303, 579.3578041566303, 579.8850096658082, 362.6722204032972, 74.72228072491102, 74.35217650459929, 74.35217650459929, 74.72228072491102, 74.72228072491102, 74.35217650459929, 236.20817112541596, 74.35217650459929, 74.72228072491102, 74.72228072491102]","[1.4264876710388086, 1.3997374257943185, 1.3997374257943185, 1.3997374257943185, 1.4264876710388086, 1.3997374257943185, 0.6133049231768566, 1.3997374257943185, 1.4264876710388086, 1.4264876710388086, 0.757303733626912, 1.1222573924691275, 1.1222573924691275, 0.6686283737405342, 1.1222573924691275, 1.112842160149265, 0.6686283737405342, 0.6686283737405342, 0.6686483699886336, 1.107863714503409, 3.8811724097660925, 3.6576719334330443, 3.6576719334330443, 3.8811724097660925, 3.8811724097660925, 3.6576719334330443, 0.9172168366286164, 3.6576719334330443, 3.8811724097660925, 3.8811724097660925]","[0.423076923076923, 0.423076923076923, 0.423076923076923, 0.423076923076923, 0.423076923076923, 0.423076923076923, 0.3161343161343161, 0.423076923076923, 0.423076923076923, 0.423076923076923, 0.7777160322311754, 0.73331626557433, 0.73331626557433, 0.7506610259122158, 0.73331626557433, 0.7247983870967741, 0.7506610259122158, 0.7506610259122158, 0.7506610259122158, 0.7165178571428571, 0.06090534979423868, 0.06090534979423868, 0.06090534979423868, 0.06090534979423868, 0.06090534979423868, 0.06090534979423868, 0.4328042328042328, 0.06090534979423868, 0.06090534979423868, 0.06090534979423868]","[0.44559980718756736, 0.44559980718756736, 0.44559980718756736, 0.44559980718756736, 0.44559980718756736, 0.44559980718756736, 0.49324474041917615, 0.44559980718756736, 0.44559980718756736, 0.44559980718756736, 0.6967858936446136, 0.6588407932006953, 0.6588407932006953, 0.6728438396066297, 0.6588407932006953, 0.6525582212518402, 0.6728438396066297, 0.6728438396066297, 0.6728438396066297, 0.6461350882612361, 0.5153393840294486, 0.5153393840294486, 0.5153393840294486, 0.5153393840294486, 0.5153393840294486, 0.5153393840294486, 0.5698263691492822, 0.5153393840294486, 0.5153393840294486, 0.5153393840294486]","[0.3949080308345605, 0.3900128887252411, 0.3900128887252411, 0.3900128887252411, 0.3949080308345605, 0.3900128887252411, 0.5423486287061594, 0.3900128887252411, 0.3949080308345605, 0.3949080308345605, 0.49860252262911803, 0.4666287233217484, 0.4666287233217484, 0.519326657275519, 0.4666287233217484, 0.4791625807878982, 0.519326657275519, 0.519326657275519, 0.5186136874942936, 0.46408662606223394, 0.20989976398488294, 0.22407117279752162, 0.22407117279752162, 0.20989976398488294, 0.20989976398488294, 0.22407117279752162, 0.31526712162014386, 0.22407117279752162, 0.20989976398488294, 0.20989976398488294]"
3,"[0.5399218294207123, 0.5399218294207123, 0.44987300809963465, 0.5399218294207123, 0.5399218294207123, 0.5399218294207123, 0.5399218294207123, 0.5399218294207123, 0.5399218294207123, 0.5399218294207123, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.7302382722834697, 0.6859579357020628, 0.6859579357020628, 0.6372340111311304, 0.6859579357020628, 0.6372340111311304, 0.6372340111311304, 0.6859579357020628, 0.6498176853819967, 0.6859579357020628, 0.6859579357020628]",MCLA,"[570.8388682305418, 570.8388682305418, 20.89312849559114, 570.8388682305418, 570.8388682305418, 570.8388682305418, 570.8388682305418, 570.8388682305418, 570.8388682305418, 570.8388682305418, 692.9413472934486, 692.9413472934489, 692.9413472934489, 692.9413472934489, 692.9413472934489, 692.9413472934489, 692.9413472934486, 692.9413472934486, 692.9413472934489, 692.9413472934489, 515.5610173550372, 515.5610173550372, 553.3584925835347, 515.5610173550372, 532.4257384580122, 561.9065908370842, 515.5610173550372, 716.2086317948396, 515.5610173550372, 515.5610173550372]","[0.3709582478659339, 0.3709582478659339, 2.12974203072912, 0.3709582478659339, 0.3709582478659339, 0.3709582478659339, 0.3709582478659339, 0.3709582478659339, 0.3709582478659339, 0.3709582478659339, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5616707465572124, 0.5179794907098205, 0.5179794907098205, 0.7555457953514653, 0.5179794907098205, 0.8417716607005863, 0.7349644838334308, 0.5179794907098205, 0.6222357153575132, 0.5179794907098205, 0.5179794907098205]","[0.01, 0.01, 0.0, 0.4711320754716981, 0.01, 0.01, 0.4711320754716981, 0.01, 0.4711320754716981, 0.01, 0.38870431893687707, 0.8141025641025641, 0.8141025641025641, 0.8141025641025641, 0.8141025641025641, 0.8141025641025641, 0.38870431893687707, 0.38870431893687707, 0.8141025641025641, 0.8141025641025641, 0.4151890034364261, 0.0, 0.07058823529411765, 0.0, 0.0, 0.0, 0.0, 0.17647058823529413, 0.0, 0.23039215686274508]","[0.6793227011157921, 0.6793227011157921, 0.5414241036277764, 0.6793227011157921, 0.6793227011157921, 0.6793227011157921, 0.6793227011157921, 0.6793227011157921, 0.6793227011157921, 0.6793227011157921, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7582057278194196, 0.7544091489928828, 0.7544091489928829, 0.7316270890851351, 0.7544091489928829, 0.7316270890851352, 0.7316270890851352, 0.7544091489928829, 0.7260795071290364, 0.7544091489928829, 0.7544091489928829]","[0.7056703225102109, 0.7056703225102109, 0.3065983750949877, 0.7056703225102109, 0.7056703225102109, 0.7056703225102109, 0.7056703225102109, 0.7056703225102109, 0.7056703225102109, 0.7056703225102109, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5987948388984353, 0.5031724176485972, 0.5031724176485972, 0.4750501237819727, 0.5031724176485972, 0.45536656187624563, 0.4812700895938097, 0.5031724176485972, 0.5614058757889666, 0.5031724176485972, 0.5031724176485972]"
4,"[0.4219886317147244, 0.4216318881502692, 0.44135129541658846, 0.44135129541658846, 0.44135129541658846, 0.4219886317147244, 0.4216318881502692, 0.4219886317147244, 0.44135129541658846, 0.4216318881502692, 0.61992433178106, 0.61992433178106, 0.7559915343224466, 0.6303393343888227, 0.6004644575682503, 0.6100728505285608, 0.6100728505285608, 0.7559915343224466, 0.7008666982225341, 0.6100728505285608, 0.44443959896907664, 0.43908371007814184, 0.4394164064453477, 0.4034548101352344, 0.4164561582616005, 0.4164561582616005, 0.3685972270106791, 0.4034548101352344, 0.42191626240416946, 0.44443959896907664]",HBGF,"[300.18268475423156, 308.6058067479978, 45.42523425524651, 47.508688205108896, 45.68442837909154, 300.18268475423156, 308.6058067479978, 300.18268475423156, 45.35463341540013, 308.6058067479978, 471.0959742894304, 480.4199282020234, 624.8610419061594, 472.38552755020964, 376.5242249952437, 405.00807505076045, 514.3742019324822, 608.8189781567994, 605.5241120760503, 469.66896960707027, 236.77888090940343, 63.44886576100688, 63.59960846218828, 58.519068210381135, 60.20110548893389, 62.18374428996922, 52.537848410531716, 61.76917670458545, 55.2155150098459, 224.76072452941406]","[0.6201663929245167, 0.6134147867363915, 1.496660844144963, 1.4675131133547432, 1.492893427828995, 0.6201663929245167, 0.6134147867363915, 0.6201663929245167, 1.4967424033700873, 0.6134147867363915, 0.7805250640342924, 0.7715630490668465, 0.6245140848191457, 0.7911182713296249, 1.0429257044142117, 0.9445298605531495, 0.7298441904335347, 0.638445907194011, 0.6412643690131171, 0.7830338866387493, 0.8406045597891094, 3.2542936345507956, 3.0388690312613216, 3.155476916148025, 3.14136790233726, 3.0067717277480868, 4.335131837837492, 3.0905506990416294, 3.496507705521214, 0.8795340598148467]","[0.2911162911162911, 0.2972582972582973, 0.0, 0.0, 0.0, 0.2911162911162911, 0.2972582972582973, 0.2911162911162911, 0.0, 0.08580858085808582, 0.4285527690700104, 0.4285527690700104, 0.8362068965517241, 0.7418683320322664, 0.05363984674329502, 0.7247983870967741, 0.7247983870967741, 0.8362068965517241, 0.796551724137931, 0.7247983870967741, 0.13494643072107862, 0.07207207207207207, 0.20754716981132074, 0.18452380952380953, 0.19393939393939394, 0.19393939393939394, 0.15300546448087432, 0.18452380952380953, 0.20370370370370372, 0.27136752136752135]","[0.4926824477163979, 0.49211574446056416, 0.5316874854297459, 0.5316874854297459, 0.5316874854297459, 0.4926824477163979, 0.49211574446056416, 0.4926824477163979, 0.5316874854297459, 0.4921157444605641, 0.6588407932006952, 0.6588407932006952, 0.7549663035873144, 0.665932387586921, 0.646135088261236, 0.6525582212518402, 0.6525582212518402, 0.7549663035873144, 0.7144576688505982, 0.6525582212518402, 0.5448635251013406, 0.5459476074973165, 0.5518167092689804, 0.5190149421698814, 0.5295133067804603, 0.5295133067804603, 0.49077347807255134, 0.5190149421698814, 0.536849767211862, 0.5448635251013406]","[0.5373477426700871, 0.5437681377803991, 0.4004383039737434, 0.3956917889417499, 0.39965158885295127, 0.5373477426700871, 0.5437681377803991, 0.5373477426700871, 0.40301659726943784, 0.5437681377803991, 0.49476332109273924, 0.49195752629560446, 0.5443088890609867, 0.4900640418425871, 0.4551399629292768, 0.46395169998860636, 0.5081574895661487, 0.5377329580220112, 0.5347973583568303, 0.49873941917628667, 0.3077486587065686, 0.20002477820213588, 0.20499868442474883, 0.20624337513973975, 0.21498587364963612, 0.19887459536300284, 0.18549827973709213, 0.20149850570619687, 0.20010234495507853, 0.2978631507833651]"
